65,7704994066762
59,5061969697822
53,5617124043111
47,9368892184611
42,6315211427902
37,6453353921654
32,9779699777386
28,6289430769606
24,5976121972376
20,8831213194409
17,4843369918254
14,3997838631533
11,6276182988989
9,16575755622487
7,01249598335112
5,16849339701314
3,64225480181208
2,4624630208066
1,69077926470527
1,35783639648531
1,15979810766682
0,572908347702295
1,08556052714522
2,06774813096182
3,69471300151439
5,0416700622127
5,86621663176039
7,36167514302503
9,55002623805995
12,2533920480626
15,3587095050122
18,8108186930251
22,5854035360705
26,672719338079
31,0695764471791
35,7756133583027
40,7916009732902
46,1186838318812
51,7580510057283
57,7108033981903
63,9779098354468
70,5602020652355
77,4583855487662
84,6730554626808
92,2047132283168
