9700,34835562029
9687,64112455681
9759,39229286411
9682,61143653622
9769,55487665672
10029,4983799016
9821,15071547452
9671,25022345435
9667,83381742078
9620,14981940273
9763,5408237194
7050,61802096275
9742,33452641449
9713,33159996067
9666,85947919769
9802,37917599499
9760,63788238582
9814,39559190801
9649,69306758017
9706,72517683509
10070,9926320495
9757,00128843743
9693,37708731574
9671,63994558456
9699,91523478005
9714,37321042306
9741,09290723117
9719,61640856862
9646,65866417267
