13,897905702668
14,5277193806695
15,1907351970809
15,8869531519024
16,6183934589748
17,3880561182981
18,1969546057665
19,0481091352208
19,941526444608
20,8812267477693
21,8702100447044
22,9085032872016
24,0001266891017
25,1480802504047
26,3553909228987
27,6240789204247
28,9581644568236
30,3606610079895
31,8345955257102
33,383988223827
35,0128593161806
36,7252357545592
38,5261444907507
40,4186124765432
42,4086734016715
44,5003474799768
46,699675139141
49,0116833309521
51,4414124830921
53,996896285296
56,6821684272988
59,5062828126765
62,474266393217
65,5951798104435
68,8760567540908
72,324957865682
75,950930310846
79,7620279931588
83,7693115541435
87,9818348973761
92,4096721402734
97,0648839243586
101,959537629102
107,104714109866
112,513494222017
