51,7851141996941
52,6248908578177
51,8339276637454
49,358449540684
45,3209854049393
40,0355392236208
33,9944891704975
27,8456778241852
22,3207224222896
18,1633866740215
16,0786712905252
16,7305434706307
20,249400159089
25,6542402395565
32,5193454174601
40,6689091550941
49,5055227031721
57,6991203132283
64,0838915325709
67,7420153603074
68,1511972963012
65,2894567672649
59,3742184274512
50,8307391409956
40,4041511905445
29,1415784567059
18,2694473470648
9,04680528881635
2,61211712823152
-0,1022684355311
3,3282010787938
8,81436406924177
17,5199447142325
30,1184273929665
42,2521288235069
56,8415836942036
68,7662628636508
78,998077683027
83,7759187065397
83,2976308384352
77,9959023569604
68,3312789967909
55,0269335737726
39,3336151236691
22,8952640856735
